,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W047691,2024-01-23,SL1,Valium,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,51.52121999999999,-0.63036
W047562,2024-01-23,CW11,Diazepam,Accord Diazepam,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,53.13976153846154,-2.3823153846153846
W047786,2024-01-24,SR69,Xanax,Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,54.94488,-1.3725200000000002
W047765,2024-01-24,YO23,Valium (Diazepam),Martin Dow Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.914883333333336,-1.1672333333333331
W047695,2024-01-24,SA59,Diazepam,Diazepam Accord,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,51.64667142857143,-3.9853857142857145
W047756,2024-01-24,B44,Klonazepam,Rivotril,White,Tablet,Oral,"Empathy, Relaxed, Memory Loss",Clonazepam,,52.5457,-1.8851
000232434,2024-01-24,SY16,Valium,MSJs,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Nausea, Array, Memory Loss, Confusion, Loss of consciousness, Agitation",Bromazolam,,52.50787647058824,-3.3015823529411765
W047764,2024-01-24,GU9,Diazepam,accord diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.2098875,-0.7973125
W047769,2024-01-24,EH15,Alprazolam,Alprazolam ratiopharm,Pink,Tablet,Oral,"Relaxed, Chest Pains, Headache, Depression, Suicidal Ideation",Alprazolam,,55.948033333333335,-3.1120666666666668
W047449,2024-01-24,TW14,Valium Martin Dow,Valium,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Memory Loss",Bromazolam,,51.4528,-0.4215
W047762,2024-01-24,NN7,Diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Etizolam,,52.20861351351351,-0.9148324324324324
W047768,2024-01-24,EH15,Diazepam,Diazepam ratiopharm,White,Tablet,Oral,"Relaxed, Headache, Agitation, Depression",Diazepam,,55.948033333333335,-3.1120666666666668
W047887,2024-01-25,HU75,Blues,Diazepam,White,Tablet,Oral,"Euphoria, Increased Energy, Increased Confidence, Empathy, Relaxed, Paranoia, Memory Loss, Depression",Diazepam,,53.7985,-0.3267
W047696,2024-01-25,YO8,Xanax/alprazolam,Alprazolam,White,Tablet,Oral,"Euphoria, Increased Energy, Increased Confidence, Increased Stamina, Increased Strength, Relaxed, Memory Loss, Confusion",Bromazolam,,53.77469393939394,-1.0269030303030302
W047780,2024-01-25,SR67,Valium,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,54.94488,-1.3725200000000002
W047850,2024-01-25,W7,Valium/Diazepam,Bensedin Galenika,White,Tablet,Not Stated,Not Stated,Diazepam,,51.5118,-0.3358999999999999
W047813,2024-01-25,YO11,Bensedin,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,54.23711428571429,-0.3853571428571428
W047822,2024-01-25,PA23,Diazepam,Roche,Blue,Tablet,Oral,Relaxed,Diazepam,,55.988997142857144,-4.98592
W047856,2024-01-25,YO10,"Valium, Diazepam",Martin Dow Valium,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Memory Loss",Diazepam,,53.9576,-1.0827
W047800,2024-01-25,PL1,Valium,Roche,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,50.37435000000001,-4.1642
W047852,2024-01-25,YO10,Clonazepam,Rivotril Klonazepam,White,Tablet,Oral,"Relaxed, Memory Loss, Agitation",Clonazepam,,53.9576,-1.0827
W047893,2024-01-25,YO10,Diazepam,Hemofarm Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,53.9576,-1.0827
W047733,2024-01-25,CF83,Valium,Valium,Blue,Tablet,Not Stated,Not Stated,"Metonitazene, Bromazolam, Diazepam",,51.59288333333333,-3.2333833333333337
W047919,2024-01-25,OX4,Alprazolam,Alprazolam,Yellow,Powder,Not Stated,Not Stated,Clobromazolam,,51.723725,-1.224375
000235087,2024-01-26,CF10,Diazepam,Not Stated,Blue,Tablet,Oral,Not Stated,"Bromazolam, Nicotine",,51.48,-3.18
W047763,2024-01-26,SO45,Valium,Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,50.82128181818182,-1.377381818181818
W047954,2024-01-26,KT3,Bensedin Galenika Diazepam,Not Stated,White,Tablet,Oral,Relaxed,Diazepam,,51.3992,-0.2556
W047953,2024-01-26,SW22,Diazepam tablets,Diazepam Ratiopharm,White,Tablet,Not Stated,Not Stated,Diazepam,,51.4548,-0.1158
000232703,2024-01-26,SA11,Valium,MSJ,Blue,Tablet,Not Stated,Not Stated,No Active Component Identified,,51.70800714285714,-3.6944071428571426
W047948,2024-01-26,FY1,Etizolam blotters,benzos 4 less etizolam,White,Blotter paper,Not Stated,Not Stated,Etizolam,,53.8167,-3.05
W047949,2024-01-26,FY2,Nitrazepam,benzos 4 less nitrazepam,White,Tablet,Not Stated,Not Stated,Nitrazepam,,53.8525,-3.0363
W047921,2024-01-26,EX23,Valium (10mg) ,Galenika (bensedin) strip 15,White,Tablet,Oral,"Euphoria, Increased Confidence, Empathy, Relaxed, Memory Loss",Diazepam,,50.81068285714286,-4.493794285714286
