,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W064108,2025-04-30,RG12,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Insomnia",Cocaine,,51.4007,-0.7635
W064110,2025-04-30,RG12,Cocaine,PP3,White,Powder,Smoked,"Euphoria, Increased Energy, Empathy",Cocaine,,51.4007,-0.7635
W064109,2025-04-30,RG12,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Insomnia",Cocaine,,51.4007,-0.7635
W064308,2025-05-07,SY7,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,Norcocaine,52.436390540540536,-2.832714864864865
W047844,2025-05-07,KY2,Cocaine,Not Stated,"Colourless, White",Powder,Intravenous,"Increased Energy, Increased Confidence, Increased Stamina, Increased Libido, Relaxed, Vomiting",Phenacetin,,56.116666666666674,-3.2097
W064294,2025-05-07,RG12,Cocaine,GR#2,White,Powder,Not Stated,Not Stated,Cocaine,Norcocaine,51.4007,-0.7635
W064293,2025-05-07,RG12,Cocaine,GR#1,White,Powder,Not Stated,Not Stated,Cocaine,"Norcocaine, Benzoylecgonine",51.4007,-0.7635
W064268,2025-05-07,G12,Cocaine,KRN stamp,White,Powder,Not Stated,Not Stated,Cocaine,"Levamisole, Norcocaine",55.8804,-4.3007
W064333,2025-05-07,KY12,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,Procaine,56.087095,-3.539235
W064187,2025-05-07,MK17,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,,51.98291739130435,-0.7129
000234721,2025-05-07,CF10,Cocaine,Not Stated,White,Solid,Smoked,Not Stated,Cocaine,Benzoylecgonine,51.48,-3.18
W064185,2025-05-07,G12,Cocaine,Taz Shamp,White,Powder,Not Stated,Not Stated,Cocaine,"Caffeine, Phenacetin, Procaine, Benzocaine",55.8804,-4.3007
W063949,2025-05-07,TF9,Cocaine,Double star,White,Powder,Not Stated,Not Stated,Cocaine,"Norcocaine, Levamisole",52.85675853658537,-2.425558536585366
W064459,2025-05-08,SW19,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.42343333333333,-0.1973333333333333
W064490,2025-05-08,HR3,Cocaine,RW triple G,White,Powder,Not Stated,Not Stated,Cocaine,,52.08754242424242,-3.049269696969697
W063457,2025-05-08,BS5,Cocaine,Cocaine,White,Powder,Not Stated,"Euphoria, Increased Energy, Increased Confidence, Empathy, Agitation",Cocaine,,51.462,-2.5519
W064467,2025-05-08,DL15,Cocaine,Cocaine,White,Powder,Not Stated,"Increased Energy, Increased Confidence, Irregular Heartbeat, Nosebleeds, Paranoia",Cocaine,,54.7021875,-1.730175
W064403,2025-05-08,SA6,Cocaine,Cocaine basin,White,Powder,Snort / Sniff,"Euphoria, Visual Hallucinations, Nosebleeds, Nausea",Cocaine,,51.6766,-3.9147
W064469,2025-05-08,NW6,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Auditory Hallucinations, Relaxed, Breathlesness, Chest Pains, Confusion, Agitation",Cocaine,Norcocaine,51.54194444444445,-0.1931888888888888
000236851,2025-05-13,CF63,COCAINE,Not Stated,White,Powder,Snort / Sniff,Not Stated,Cocaine,"Norcocaine, Benzoylecgonine",51.4172,-3.2614
W064447,2025-05-13,E17,COCAINE,COCAINE,White,Powder,Not Stated,Not Stated,Cocaine,"Norcocaine, Benzoylecgonine",51.58758,-0.02048
