,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
000239552,25 Feb 2026,NP22,Diazepam,Valium,Blue,Tablet,Oral,"Euphoria, Relaxed, Breathlesness, Irregular Heartbeat, Paranoia, Confusion, Agitation, Insomnia, Depression, Suicidal Ideation",Diazepam,,51.7725,-3.2468
W074367,25 Feb 2026,B44,Diazepam,Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.5457,-1.8851
W074279,25 Feb 2026,BT67,Diazepam 10mg,Diazepam 10,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.48503333333334,-6.287166666666667
W074181,25 Feb 2026,CV9,Alprazolam 2mg,Alprazolam 2mg,Yellow,Tablet,Oral,Not Stated,Alprazolam,,52.593988888888894,-1.561288888888889
W074192,25 Feb 2026,ME1,Clonazepam,Galenika rivotril 2mg ,White,Tablet,Oral,Relaxed,Ethylbromazolam,,51.36095,0.482575
W074239,25 Feb 2026,TW7,Lozicum lorazepam 1mg,Lozicum lorazepam 1mg,"White, Blue",Tablet,Not Stated,Not Stated,Lorazepam,,51.4752,-0.3425
W073917,25 Feb 2026,BT1,Clonazepam 2mg,Psicofarm clonazepam 2mg,White,Tablet,Not Stated,Not Stated,Clonazepam,,54.5833,-5.9333
W074289,25 Feb 2026,HX39,Valium 10mg,Martin dow ltd 10mg valium,White,Tablet,Not Stated,Not Stated,Diazepam,,53.72608333333333,-1.8416
W074283,25 Feb 2026,LS6,Valium 10mg,Diazepam accord 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.8201,-1.5704
W074249,26 Feb 2026,M16,Diazepam,Martin dows valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.4551,-2.2645
W074248,26 Feb 2026,M16,Clonazepam,Radiant rivotril clonazepam,White,Tablet,Not Stated,Not Stated,Clonazepam,,53.4551,-2.2645
W073849,25 Feb 2026,SA15,valium,Diazepam,Blue,Tablet,Oral,Relaxed,Diazepam,,51.74003,-4.187250000000001
W074094,25 Feb 2026,DD2,Nitrazepam 5mg,Noctin 5mg (UKP),White,Tablet,Oral,Relaxed,Nitrazepam,,56.47777692307693,-3.0589461538461538
W074091,25 Feb 2026,DD2,Diazepam,Bensedin 10mg (UK Pablo),White,Tablet,Oral,No Effect,Diazepam,,56.47777692307693,-3.0589461538461538
W074096,25 Feb 2026,DD2,Diazepam,Valium 10mg Martin dow (UKP),Blue,Tablet,Oral,Relaxed,Diazepam,,56.47777692307693,-3.0589461538461538
W074097,25 Feb 2026,DD2,Diazepam ,Easium 5mg UkP,White,,Oral,"Increased Confidence, Relaxed",Diazepam,,56.47777692307693,-3.0589461538461538
W074098,25 Feb 2026,DD2,Alprazolam,Alprx-1 UKP,White,Tablet,Not Stated,"No Effect, Relaxed",Alprazolam,,56.47777692307693,-3.0589461538461538
W074099,25 Feb 2026,DD2,Bromazepam 6mg,Hemofarm bromazepam HF 6mg (UKP),White,Tablet,Oral,"Relaxed, Euphoria",Bromazolam,,56.47777692307693,-3.0589461538461538
W074220,25 Feb 2026,SW1,Diazepam,Accord diazepam 5mg,Yellow,Tablet,Oral,Not Stated,Diazepam,,51.495583333333336,-0.1417916666666666
W074309,25 Feb 2026,CF14,diazepam,Bensedin 10mg,White,Tablet,Oral,"Empathy, Relaxed, Memory Loss",Diazepam,,51.5199,-3.204
000233429,25 Feb 2026,LL55,Diazepam 10mg,bensedn (diazepam 10mg),White,Tablet,Oral,Stomach pains,Diazepam,,53.12915357142857,-4.195053571428572
W074231,25 Feb 2026,B10,Diazepam 10mg,"Elipam -10 Elikem, Diazepam 10mg",White,Tablet,Oral,"Increased Confidence, Enhanced Senses, Relaxed",Diazepam,,52.4698,-1.8523
W074184,25 Feb 2026,G83,Diazepam 10mg,Diazepam martin dow 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,56.03989166666666,-4.6006583333333335
W074210,25 Feb 2026,EN7,diazepam,Diazepam (valium),Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.7119,-0.0689
W074187,25 Feb 2026,HA3,Xanax,ksalol galenika,White,Tablet,Not Stated,Not Stated,Alprazolam,,51.59936666666667,-0.3307333333333333
W074216,25 Feb 2026,ME12,Lorazepam 2.5mg,hemofarm lorazepam HF 2.5mg,Blue,Tablet,Oral,"Relaxed, Nausea, Agitation",Lorazepam,,51.41452857142857,0.8513999999999999
